repoName,bug-fix_commit,buggy_inducing_file,buggy_inducing_commit
adanet,28f70c3980d4c57cac2dba0a8269284f82f65584,adanet/evaluator.py,4b21465ae8fe66a5364ad3accca278b6f86d31e6
adanet,0ce83c23a8bb71c75ad31fb33b6e98de6caf83d3,adanet/core/candidate.py,4b21465ae8fe66a5364ad3accca278b6f86d31e6
adanet,0ce83c23a8bb71c75ad31fb33b6e98de6caf83d3,adanet/core/candidate_test.py,4b21465ae8fe66a5364ad3accca278b6f86d31e6
adanet,0ce83c23a8bb71c75ad31fb33b6e98de6caf83d3,adanet/core/estimator_test.py,4b21465ae8fe66a5364ad3accca278b6f86d31e6
adanet,0ce83c23a8bb71c75ad31fb33b6e98de6caf83d3,adanet/core/iteration.py,4b21465ae8fe66a5364ad3accca278b6f86d31e6
adanet,0ce83c23a8bb71c75ad31fb33b6e98de6caf83d3,adanet/core/iteration_test.py,4b21465ae8fe66a5364ad3accca278b6f86d31e6
adanet,0ce83c23a8bb71c75ad31fb33b6e98de6caf83d3,adanet/core/testing_utils.py,4b21465ae8fe66a5364ad3accca278b6f86d31e6
adanet,48599be4e389124fa736272ca91ca77fefcba624,adanet/core/candidate.py,0ce83c23a8bb71c75ad31fb33b6e98de6caf83d3
adanet,48599be4e389124fa736272ca91ca77fefcba624,adanet/core/candidate.py,4b21465ae8fe66a5364ad3accca278b6f86d31e6
adanet,48599be4e389124fa736272ca91ca77fefcba624,adanet/core/candidate_test.py,4b21465ae8fe66a5364ad3accca278b6f86d31e6
adanet,48599be4e389124fa736272ca91ca77fefcba624,adanet/core/candidate_test.py,0ce83c23a8bb71c75ad31fb33b6e98de6caf83d3
adanet,48599be4e389124fa736272ca91ca77fefcba624,adanet/core/estimator_test.py,9e739bd7a535a41051ed0ae11c8d2f00c9c1ee85
adanet,48599be4e389124fa736272ca91ca77fefcba624,adanet/core/estimator_test.py,0ce83c23a8bb71c75ad31fb33b6e98de6caf83d3
adanet,48599be4e389124fa736272ca91ca77fefcba624,adanet/core/estimator_test.py,4b21465ae8fe66a5364ad3accca278b6f86d31e6
adanet,48599be4e389124fa736272ca91ca77fefcba624,adanet/core/iteration.py,0ce83c23a8bb71c75ad31fb33b6e98de6caf83d3
adanet,48599be4e389124fa736272ca91ca77fefcba624,adanet/core/iteration.py,4b21465ae8fe66a5364ad3accca278b6f86d31e6
adanet,48599be4e389124fa736272ca91ca77fefcba624,adanet/core/iteration.py,ad657f0a896045f87d4a9c6af26106d7554c9b2c
